2025-03-15 18:01:09, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:01:09, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:01:09, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:01:10, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:01:10, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:01:10, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 18:01:10, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:01:19, Class: 2, Confidence: 0.94, Sort As: Garbage
2025-03-15 18:01:25, Class: 2, Confidence: 0.97, Sort As: Garbage
2025-03-15 18:01:52, Class: 2, Confidence: 0.50, Sort As: Garbage
2025-03-15 18:01:53, Class: 2, Confidence: 0.97, Sort As: Garbage
2025-03-15 18:01:54, Class: 2, Confidence: 0.57, Sort As: Garbage
2025-03-15 18:01:55, Class: 2, Confidence: 0.80, Sort As: Garbage
2025-03-15 18:01:56, Class: 2, Confidence: 0.93, Sort As: Garbage
2025-03-15 18:02:03, Class: 3, Confidence: 0.65, Sort As: Recycling
2025-03-15 18:02:04, Class: 3, Confidence: 0.85, Sort As: Recycling
2025-03-15 18:02:05, Class: 2, Confidence: 0.93, Sort As: Garbage
2025-03-15 18:02:06, Class: 2, Confidence: 0.93, Sort As: Garbage
2025-03-15 18:02:07, Class: 2, Confidence: 0.80, Sort As: Garbage
2025-03-15 18:02:08, Class: 2, Confidence: 0.94, Sort As: Garbage
2025-03-15 18:02:08, Class: 2, Confidence: 0.92, Sort As: Garbage
2025-03-15 18:02:09, Class: 2, Confidence: 0.90, Sort As: Garbage
2025-03-15 18:02:09, Class: 2, Confidence: 0.94, Sort As: Garbage
2025-03-15 18:02:09, Class: 2, Confidence: 0.90, Sort As: Garbage
2025-03-15 18:02:09, Class: 2, Confidence: 0.92, Sort As: Garbage
2025-03-15 18:02:10, Class: 2, Confidence: 0.93, Sort As: Garbage
2025-03-15 18:02:10, Class: 2, Confidence: 0.96, Sort As: Garbage
2025-03-15 18:02:11, Class: 2, Confidence: 0.97, Sort As: Garbage
2025-03-15 18:02:11, Class: 2, Confidence: 0.96, Sort As: Garbage
2025-03-15 18:02:11, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 18:02:11, Class: 2, Confidence: 0.97, Sort As: Garbage
2025-03-15 18:02:12, Class: 2, Confidence: 0.97, Sort As: Garbage
2025-03-15 18:02:12, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 18:02:12, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 18:02:12, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 18:02:13, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 18:02:13, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 18:02:19, Class: 2, Confidence: 0.95, Sort As: Garbage
2025-03-15 18:02:19, Class: 2, Confidence: 0.94, Sort As: Garbage
2025-03-15 18:02:20, Class: 2, Confidence: 0.95, Sort As: Garbage
2025-03-15 18:02:20, Class: 2, Confidence: 0.89, Sort As: Garbage
2025-03-15 18:02:20, Class: 2, Confidence: 0.94, Sort As: Garbage
2025-03-15 18:02:20, Class: 2, Confidence: 0.92, Sort As: Garbage
2025-03-15 18:02:20, Class: 2, Confidence: 0.92, Sort As: Garbage
2025-03-15 18:02:21, Class: 2, Confidence: 0.89, Sort As: Garbage
2025-03-15 18:02:21, Class: 2, Confidence: 0.87, Sort As: Garbage
2025-03-15 18:02:21, Class: 2, Confidence: 0.90, Sort As: Garbage
